哈TV,#genre#
中部人文台(HD),http://lifei555.tk/hads.php?id=114
新天地民俗台(HD),http://lifei555.tk/hads.php?id=115
三聖電視台(HD),http://lifei555.tk/hads.php?id=116
威達超舜生活台(HD),http://lifei555.tk/hads.php?id=117
天美麗電視台(HD),http://lifei555.tk/hads.php?id=118
大立電視台(HD),http://lifei555.tk/hads.php?id=119
樂視台,http://lifei555.tk/hads.php?id=120
大愛二台(HD),http://lifei555.tk/hads.php?id=121
智林體育台(HD),http://lifei555.tk/hads.php?id=122
國會頻道1台(HD),http://lifei555.tk/hads.php?id=123
國會頻道2台(HD),http://lifei555.tk/hads.php?id=124
幸福空間居家台(HD),http://lifei555.tk/hads.php?id=125
高點育樂台,http://lifei555.tk/hads.php?id=126
華視教育體育文化台(HD),http://lifei555.tk/hads.php?id=127
希望綜合台(HD),http://lifei555.tk/hads.php?id=131
華藝台灣台(HD),http://lifei555.tk/hads.php?id=132
唯心電視台(HD),http://lifei555.tk/hads.php?id=140
民視第一台,http://lifei555.tk/hads.php?id=151
民視台灣台(HD),http://lifei555.tk/hads.php?id=152
台視新聞台(HD),http://lifei555.tk/hads.php?id=155
台視財經台,http://lifei555.tk/hads.php?id=156
台視綜合台,http://lifei555.tk/hads.php?id=157
公視3台(HD),http://lifei555.tk/hads.php?id=159
中視新聞台,http://lifei555.tk/hads.php?id=161
BBC World News,http://lifei555.tk/hads.php?id=164
CNA,http://lifei555.tk/hads.php?id=165
FRANCE 24(English),http://lifei555.tk/hads.php?id=166
A-One體育台,http://lifei555.tk/hads.php?id=167
狼谷育樂台(HD),http://lifei555.tk/hads.php?id=168
狼谷育樂台4K,http://lifei555.tk/hads.php?id=169
TV5MONDE,http://lifei555.tk/hads.php?id=170
Arirang TV,http://lifei555.tk/hads.php?id=171
亞洲旅遊台,http://lifei555.tk/hads.php?id=172
Discovery Asia(HD),http://lifei555.tk/hads.php?id=200
Discovery科學頻道(HD),http://lifei555.tk/hads.php?id=201
DMAX(HD),http://lifei555.tk/hads.php?id=202
BBC Earth(HD),http://lifei555.tk/hads.php?id=203
DREAMWORKS(HD),http://lifei555.tk/hads.php?id=207
CBeebies(HD),http://lifei555.tk/hads.php?id=209
afn亞洲美食頻道,http://lifei555.tk/hads.php?id=211
BBC Lifestyle Channel(HD),http://lifei555.tk/hads.php?id=214
EVE(HD),http://lifei555.tk/hads.php?id=215
HBO(HD),http://lifei555.tk/hads.php?id=220
HBO Signature(HD),http://lifei555.tk/hads.php?id=221
HBO Family(HD),http://lifei555.tk/hads.php?id=222
HBO Hits(HD),http://lifei555.tk/hads.php?id=223
tvN(HD),http://lifei555.tk/hads.php?id=225
好消息2台HD,http://lifei555.tk/hads.php?id=239
博斯高球一台(HD),http://lifei555.tk/hads.php?id=242
博斯網球台(HD),http://lifei555.tk/hads.php?id=243
博斯運動二台(HD),http://lifei555.tk/hads.php?id=244
博斯高球二台(HD),http://lifei555.tk/hads.php?id=245
博斯無限台(HD),http://lifei555.tk/hads.php?id=246
博斯無限二台(HD),http://lifei555.tk/hads.php?id=247
博斯魅力網(HD),http://lifei555.tk/hads.php?id=248
彩虹市集_1234,#genre#
玩家頻道,http://lifei555.tk/hads.php?id=401
Happy頻道,http://lifei555.tk/hads.php?id=402
HOT頻道,http://lifei555.tk/hads.php?id=403
松視④台,http://lifei555.tk/hads.php?id=404
松視①台(HD),http://lifei555.tk/hads.php?id=405
松視②台(HD),http://lifei555.tk/hads.php?id=406
松視③台,http://lifei555.tk/hads.php?id=407
彩虹Ⓡ台(HD),http://lifei555.tk/hads.php?id=408
樂活頻道,http://lifei555.tk/hads.php?id=410
潘朵拉玩美台,http://lifei555.tk/hads.php?id=411
潘朵拉粉紅台,http://lifei555.tk/hads.php?id=412
驚艷成人台,http://lifei555.tk/hads.php?id=413
香蕉成人台,http://lifei555.tk/hads.php?id=414
